iter	Passed	Remaining
0	155	154911
1	155	77743
2	157	52439
3	158	39445
4	159	31661
5	159	26457
6	160	22737
7	160	19947
8	161	17776
9	162	16044
10	162	14626
11	163	13441
12	163	12437
13	164	11583
14	165	10838
15	165	10193
16	166	9618
17	166	9108
18	167	8651
19	168	8243
20	168	7869
21	169	7530
22	169	7220
23	172	7002
24	172	6739
25	173	6496
26	174	6276
27	174	6068
28	175	5875
29	176	5693
30	176	5523
31	177	5363
32	177	5213
33	178	5072
34	179	4938
35	179	4811
36	180	4691
37	180	4578
38	181	4470
39	182	4368
40	182	4272
41	183	4180
42	183	4093
43	184	4009
44	189	4012
45	189	3937
46	191	3884
47	192	3821
48	193	3753
49	194	3689
50	195	3636
51	196	3575
52	196	3515
53	197	3457
54	200	3447
55	201	3393
56	201	3340
57	202	3289
58	203	3239
59	203	3190
60	204	3142
61	204	3096
62	205	3056
63	206	3013
64	206	2972
65	207	2932
66	207	2893
67	208	2856
68	209	2821
69	209	2785
70	210	2751
71	210	2718
72	211	2685
73	212	2654
74	212	2624
75	215	2614
76	215	2585
77	216	2556
78	216	2528
79	217	2501
80	218	2474
81	218	2449
82	219	2420
83	219	2396
84	220	2373
85	221	2349
86	221	2327
87	222	2307
88	223	2284
89	223	2263
90	224	2241
91	225	2221
92	225	2201
93	226	2181
94	226	2161
95	227	2143
96	229	2140
97	230	2125
98	231	2110
99	233	2101
100	235	2096
101	237	2089
102	238	2073
103	238	2057
104	240	2050
105	242	2041
106	243	2029
107	246	2033
108	247	2020
109	247	2005
110	249	1998
111	252	2001
112	253	1988
113	254	1975
114	254	1961
115	255	1947
116	256	1932
117	257	1921
118	257	1908
119	260	1908
120	261	1896
121	261	1882
122	262	1870
123	262	1857
124	263	1845
125	265	1844
126	266	1832
127	267	1821
128	268	1810
129	268	1798
130	269	1787
131	270	1775
132	270	1765
133	271	1755
134	272	1744
135	272	1733
136	277	1747
137	278	1739
138	279	1730
139	280	1725
140	281	1717
141	282	1707
142	283	1698
143	285	1694
144	290	1713
145	292	1711
146	294	1707
147	295	1703
148	296	1695
149	298	1688
150	299	1681
151	300	1677
152	302	1675
153	306	1683
154	307	1675
155	311	1685
156	313	1685
157	315	1679
158	315	1670
159	316	1662
160	317	1652
161	317	1643
162	318	1635
163	323	1648
164	324	1641
165	325	1633
166	325	1625
167	326	1618
168	327	1612
169	328	1604
170	329	1597
171	330	1589
172	330	1581
173	331	1574
174	332	1567
175	335	1568
176	336	1566
177	337	1560
178	338	1553
179	339	1548
180	340	1541
181	341	1534
182	342	1528
183	348	1546
184	350	1542
185	350	1535
186	351	1528
187	352	1521
188	353	1515
189	355	1516
190	357	1514
191	358	1509
192	364	1523
193	365	1518
194	366	1511
195	366	1505
196	368	1502
197	372	1509
198	386	1557
199	388	1552
200	389	1546
201	392	1550
202	394	1549
203	396	1545
204	399	1549
205	400	1544
206	401	1538
207	402	1532
208	403	1526
209	404	1520
210	404	1514
211	408	1517
212	409	1513
213	411	1509
214	412	1505
215	413	1500
216	414	1495
217	415	1489
218	415	1483
219	417	1478
220	417	1473
221	418	1467
222	419	1461
223	420	1455
224	423	1457
225	424	1452
226	425	1447
227	425	1442
228	426	1436
229	427	1431
230	428	1426
231	429	1421
232	429	1415
233	430	1409
234	431	1403
235	431	1398
236	432	1392
237	433	1387
238	433	1381
239	434	1375
240	435	1372
241	436	1367
242	437	1362
243	437	1356
244	438	1351
245	439	1346
246	439	1340
247	440	1335
248	441	1330
249	441	1325
250	442	1320
251	443	1315
252	443	1310
253	444	1305
254	445	1300
255	445	1295
256	446	1290
257	447	1285
258	447	1281
259	448	1276
260	449	1272
261	451	1272
262	452	1268
263	453	1263
264	454	1259
265	454	1254
266	455	1250
267	456	1245
268	456	1241
269	457	1236
270	458	1232
271	458	1227
272	459	1223
273	459	1218
274	460	1214
275	461	1210
276	462	1207
277	463	1203
278	464	1199
279	469	1207
280	470	1204
281	472	1201
282	473	1198
283	473	1194
284	474	1190
285	475	1186
286	476	1182
287	477	1179
288	478	1176
289	479	1173
290	481	1174
291	483	1173
292	487	1176
293	488	1172
294	489	1169
295	490	1166
296	491	1162
297	492	1159
298	494	1158
299	503	1175
300	505	1173
301	506	1169
302	506	1166
303	507	1162
304	508	1158
305	510	1156
306	517	1169
307	522	1173
308	523	1171
309	524	1167
310	525	1164
311	529	1167
312	530	1164
313	532	1162
314	532	1158
315	533	1155
316	534	1152
317	535	1148
318	536	1145
319	537	1141
320	538	1138
321	545	1148
322	546	1146
323	553	1154
324	564	1172
325	566	1171
326	567	1168
327	568	1164
328	569	1162
329	570	1158
330	573	1159
331	576	1159
332	577	1156
333	581	1160
334	582	1157
335	583	1153
336	585	1151
337	586	1147
338	588	1147
339	590	1146
340	591	1143
341	594	1144
342	595	1141
343	596	1138
344	597	1135
345	598	1131
346	600	1129
347	601	1126
348	607	1132
349	607	1128
350	610	1128
351	611	1125
352	612	1122
353	613	1119
354	614	1116
355	616	1114
356	622	1120
357	623	1117
358	625	1117
359	626	1114
360	627	1110
361	628	1107
362	629	1103
363	629	1100
364	631	1098
365	634	1099
366	636	1097
367	637	1094
